method,celltype,f1
guidedpls_stage,Amniochorionic mesoderm A,0.0
guidedpls_stage,Amniochorionic mesoderm B,0.03018867924528302
guidedpls_stage,Cardiomyocytes,0.0
guidedpls_stage,Chondrocyte and osteoblast progenitors,0.020858895705521473
guidedpls_stage,Di/telencephalon,0.0
guidedpls_stage,Early chondrocytes,0.004424778761061947
guidedpls_stage,Endothelium,0.12195121951219512
guidedpls_stage,Extraembryonic mesoderm,0.016216216216216217
guidedpls_stage,Extraembryonic visceral endoderm,0.0
guidedpls_stage,First heart field,0.0
guidedpls_stage,Forebrain/midbrain,0.07945900253592561
guidedpls_stage,Gut,0.0
guidedpls_stage,Hepatocytes,0.0
guidedpls_stage,Hindbrain,0.02702702702702703
guidedpls_stage,Intermediate mesoderm,0.0
guidedpls_stage,Limb mesenchyme progenitors,0.08055555555555556
guidedpls_stage,Megakaryocytes,0.0
guidedpls_stage,Mesencephalon/MHB,0.0
guidedpls_stage,Mesenchymal stromal cells,0.0
guidedpls_stage,Neural crest,0.055900621118012424
guidedpls_stage,Neural crest (PNS glia),0.0
guidedpls_stage,Neural crest (PNS neurons),0.0
guidedpls_stage,Neuromesodermal progenitors,0.04878048780487805
guidedpls_stage,Neuron progenitor cells,0.0028089887640449437
guidedpls_stage,Osteoblast progenitors A,0.005649717514124294
guidedpls_stage,Osteoblast progenitors B,0.010666666666666666
guidedpls_stage,Paraxial mesoderm,0.0
guidedpls_stage,Paraxial mesoderm A,0.0
guidedpls_stage,Placodal area,0.0
guidedpls_stage,Pre-epidermal keratinocytes,0.023255813953488372
guidedpls_stage,Primitive erythroid cells,0.0
guidedpls_stage,Retinal primordium,0.0
guidedpls_stage,Roof plate,0.0
guidedpls_stage,Skeletal muscle progenitors,0.017543859649122806
guidedpls_stage,Somatic mesoderm,0.005141388174807198
guidedpls_stage,Spinal cord,0.07867494824016563
guidedpls_stage,Spinal cord (dorsal),0.0
guidedpls_stage,Spinal cord (ventral),0.010327022375215147
guidedpls_stage,Splanchnic mesoderm,0.02247191011235955
guidedpls_stage,White blood cells,0.0
guidedpls_stage,floor plate,0.0
guidedpls_germlayer,Amniochorionic mesoderm A,0.03669724770642202
guidedpls_germlayer,Amniochorionic mesoderm B,0.040268456375838924
guidedpls_germlayer,Cardiomyocytes,0.0
guidedpls_germlayer,Chondrocyte and osteoblast progenitors,0.3733850129198966
guidedpls_germlayer,Di/telencephalon,0.030165912518853696
guidedpls_germlayer,Early chondrocytes,0.037383177570093455
guidedpls_germlayer,Endothelium,0.112565445026178
guidedpls_germlayer,Extraembryonic mesoderm,0.010899182561307902
guidedpls_germlayer,Extraembryonic visceral endoderm,0.0
guidedpls_germlayer,First heart field,0.0
guidedpls_germlayer,Forebrain/midbrain,0.02346041055718475
guidedpls_germlayer,Gut,0.16
guidedpls_germlayer,Hepatocytes,0.0
guidedpls_germlayer,Hindbrain,0.15165876777251186
guidedpls_germlayer,Intermediate mesoderm,0.0
guidedpls_germlayer,Limb mesenchyme progenitors,0.13583815028901733
guidedpls_germlayer,Megakaryocytes,0.0
guidedpls_germlayer,Mesencephalon/MHB,0.037193575655114115
guidedpls_germlayer,Mesenchymal stromal cells,0.0
guidedpls_germlayer,Neural crest,0.0
guidedpls_germlayer,Neural crest (PNS glia),0.04249667994687915
guidedpls_germlayer,Neural crest (PNS neurons),0.0
guidedpls_germlayer,Neuromesodermal progenitors,0.007952286282306162
guidedpls_germlayer,Neuron progenitor cells,0.0
guidedpls_germlayer,Osteoblast progenitors A,0.01818181818181818
guidedpls_germlayer,Osteoblast progenitors B,0.03341288782816229
guidedpls_germlayer,Paraxial mesoderm,0.0
guidedpls_germlayer,Paraxial mesoderm A,0.0
guidedpls_germlayer,Placodal area,0.0
guidedpls_germlayer,Pre-epidermal keratinocytes,0.6260869565217392
guidedpls_germlayer,Primitive erythroid cells,0.0
guidedpls_germlayer,Retinal primordium,0.0
guidedpls_germlayer,Roof plate,0.0
guidedpls_germlayer,Skeletal muscle progenitors,0.013675213675213675
guidedpls_germlayer,Somatic mesoderm,0.014598540145985401
guidedpls_germlayer,Spinal cord,0.0
guidedpls_germlayer,Spinal cord (dorsal),0.005952380952380952
guidedpls_germlayer,Spinal cord (ventral),0.024475524475524476
guidedpls_germlayer,Splanchnic mesoderm,0.0345679012345679
guidedpls_germlayer,White blood cells,0.0
guidedpls_germlayer,floor plate,0.0
guidedpls_stage_germlayer,Amniochorionic mesoderm A,0.0
guidedpls_stage_germlayer,Amniochorionic mesoderm B,0.0
guidedpls_stage_germlayer,Cardiomyocytes,0.0
guidedpls_stage_germlayer,Chondrocyte and osteoblast progenitors,0.40106241699867196
guidedpls_stage_germlayer,Di/telencephalon,0.2475355969331873
guidedpls_stage_germlayer,Early chondrocytes,0.04827586206896552
guidedpls_stage_germlayer,Endothelium,0.0034782608695652175
guidedpls_stage_germlayer,Extraembryonic mesoderm,0.008064516129032258
guidedpls_stage_germlayer,Extraembryonic visceral endoderm,0.0
guidedpls_stage_germlayer,First heart field,0.0
guidedpls_stage_germlayer,Forebrain/midbrain,0.5069356872635561
guidedpls_stage_germlayer,Gut,0.3888888888888889
guidedpls_stage_germlayer,Hepatocytes,0.0
guidedpls_stage_germlayer,Hindbrain,0.3336405529953917
guidedpls_stage_germlayer,Intermediate mesoderm,0.011904761904761904
guidedpls_stage_germlayer,Limb mesenchyme progenitors,0.46866952789699573
guidedpls_stage_germlayer,Megakaryocytes,0.0
guidedpls_stage_germlayer,Mesencephalon/MHB,0.08226221079691516
guidedpls_stage_germlayer,Mesenchymal stromal cells,0.001893939393939394
guidedpls_stage_germlayer,Neural crest,0.029357798165137616
guidedpls_stage_germlayer,Neural crest (PNS glia),0.022018348623853212
guidedpls_stage_germlayer,Neural crest (PNS neurons),0.025974025974025976
guidedpls_stage_germlayer,Neuromesodermal progenitors,0.1791044776119403
guidedpls_stage_germlayer,Neuron progenitor cells,0.14608695652173914
guidedpls_stage_germlayer,Osteoblast progenitors A,0.027777777777777776
guidedpls_stage_germlayer,Osteoblast progenitors B,0.1686746987951807
guidedpls_stage_germlayer,Paraxial mesoderm,0.0
guidedpls_stage_germlayer,Paraxial mesoderm A,0.039603960396039604
guidedpls_stage_germlayer,Placodal area,0.0
guidedpls_stage_germlayer,Pre-epidermal keratinocytes,0.7197106690777577
guidedpls_stage_germlayer,Primitive erythroid cells,0.0
guidedpls_stage_germlayer,Retinal primordium,0.0
guidedpls_stage_germlayer,Roof plate,0.0
