method,celltype,f1
guidedpls_germlayer,B Naive,0.9149700598802395
guidedpls_germlayer,CD14 Mono,0.8531101263745281
guidedpls_germlayer,CD16 Mono,0.003898635477582846
guidedpls_germlayer,CD4 T Memory,0.49839940901255847
guidedpls_germlayer,CD4 T Naive,0.3454398708635997
guidedpls_germlayer,CD8 T Memory,0.6290322580645161
guidedpls_germlayer,CD8 T Naive,0.384652278177458
guidedpls_germlayer,NK,0.687960687960688
guidedpls_germlayer,Platelet,0.0
guidedpls_germlayer,cDC,0.28426395939086296
guidedpls_germlayer,pDC,0.0
seurat,B Naive,0.9348230912476723
seurat,CD14 Mono,0.9146447896666084
seurat,CD16 Mono,0.7486486486486487
seurat,CD4 T Memory,0.847457627118644
seurat,CD4 T Naive,0.7906834201654919
seurat,CD8 T Memory,0.8476052249637155
seurat,CD8 T Naive,0.8882521489971347
seurat,NK,0.8532423208191127
seurat,Platelet,0.9565217391304348
seurat,cDC,0.7633136094674556
seurat,pDC,0.9395348837209302
harmony,B Naive,0.5492085340674466
harmony,CD14 Mono,0.612494341330919
harmony,CD16 Mono,0.0
harmony,CD4 T Memory,0.12038014783526928
harmony,CD4 T Naive,0.12087353986795328
harmony,CD8 T Memory,0.11139240506329114
harmony,CD8 T Naive,0.22786377708978328
harmony,NK,0.16247139588100687
harmony,Platelet,0.25
harmony,cDC,0.0
harmony,pDC,0.6309523809523809
scanorama,B Naive,0.3218743998463607
scanorama,CD14 Mono,0.8617806197737334
scanorama,CD16 Mono,0.0
scanorama,CD4 T Memory,0.2881105081401085
scanorama,CD4 T Naive,0.176171654432524
scanorama,CD8 T Memory,0.21420256111757857
scanorama,CD8 T Naive,0.3459082994776553
scanorama,NK,0.5227920227920227
scanorama,Platelet,0.3835616438356164
scanorama,cDC,0.0
scanorama,pDC,0.8125
